Store Code,Mall/HS,Business Name,Zone,Zone New,City,State,Comment Date,Comment Date_NEW,Month_No.,Month,Quarter,Quarter,FY,Customer Response,Customer Rating,Sentiment,Response_Type
HYD,High-Street,Metro Shoes,South Zone,South,Hyderabad,Telangana,05-04-2024 03:43,05-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,This is the only branch they are operating in twin Cities.,5,POSITIVE,In-Store Experience
DRP,Mall,Metro Shoes,North Zone,North,New Delhi,Delhi,05-04-2024 12:46,05-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Very very bad experience whole staff and manager are worst they don't know how to deal with customer ,they gives old manufacturing date products the product also damage after 10 days please don't purchase here very very poor quality with heavy rates",1,NEGATIVE,Product Quality
HSM,High-Street,Mochi Shoes,South Zone,South,Hyderabad,Telangana,06-04-2024 03:36,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"This is not first time that I had buy chappal from your shop , last time it was great but now I want to buy comfortable chappal pair but it is very hard & it cost me approx 3000/- n iam not satisfy from this time service",1,NEGATIVE,In-Store Experience
CTQ,High-Street,Crocs,South Zone,South,Coimbatore,Tamil Nadu,06-04-2024 07:31,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"This Company owned outlet stocks a wide range of Crocs footwear. Manned by a single person when we went there. The footfall in the store is quite light. Willing to procure any item that may not be in stock and inform us on its arrival so that we could collect it / they could arrange delivery. They also claim to give technical service for any products purchased in-store. They do not offer service support for any online purchases.

Car parking is available inside the building area, behind the store. Parking fee is waived based on rubber-stamp from Crocs .",4,POSITIVE,In-Store Experience
BSS,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,06-04-2024 09:08,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Location is not showing proper km are very very high mistakes showinf,1,NEGATIVE,In-Store Experience
HUM,Mall,Mochi Shoes,South Zone,South,Hubli,Karnataka,06-04-2024 13:07,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Polite behaviour by the staff, good manners and decent behaviour in receiving the customers
Coming to the the products they are plenty of varieties and models and very nice in quality if any issues they are providing proper remedy for the issues so totally I would like to purchase in mochi store hubli the experience related their customer concern  and in regarding returns and billing everything was fine nothing is bad about the store thank you mochi....",5,POSITIVE,Product Quality
HUM,Mall,Mochi Shoes,South Zone,South,Hubli,Karnataka,06-04-2024 13:07,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Polite behaviour by the staff, good manners and decent behaviour in receiving the customers
Coming to the the products they are plenty of varieties and models and very nice in quality if any issues they are providing proper remedy for the issues so totally I would like to purchase in mochi store hubli the experience related their customer concern  and in regarding returns and billing everything was fine nothing is bad about the store thank you mochi....",5,POSITIVE,Product Quality
TKS,Mall,Metro Shoes,West Zone,West,Thane,Maharashtra,06-04-2024 16:02,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Great collection. Very courteous staff. Purchased Da Vinci Shoes. Mr Kayyub Ansari made sure to find a right one for me. Very good store.,5,POSITIVE,In-Store Experience
CHQ,Mall,Crocs,North Zone,North,Chandigarh,Chandigarh,06-04-2024 18:57,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Much costly,3,NEUTRAL,Product Pricing
PFQ,High-Street,Crocs,East Zone,East,Patna,Bihar,06-04-2024 19:43,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Have a variety of collection for everyone in the family. Crocs is known for its comfort and as many copies of the products are available in the market, it's best to visit the official store. The staff is very helpful and courteous.",5,POSITIVE,In-Store Experience
GHD,High-Street,Metro Shoes,West Zone,West,Gandhidam,Gujarat,06-04-2024 20:59,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Very bad experience, I asked him to show me purse, He told me Yaha bathroom sleepers bhi 1250 me milta hai",1,NEGATIVE,In-Store Experience
LKR,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,06-04-2024 21:03,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Thnk u so much for giving me new shoes❤️❤️❤️,5,POSITIVE,In-Store Experience
BGL,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,06-04-2024 21:32,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Worst metro showroom I've ever been to. Very bad customer service. All the other metro showrooms we've been to told us they can repair the footwear for free since there was 1 year warranty....only these guys asked money for repairing which is basically cheating the customer.,1,NEGATIVE,In-Store Experience
VNM,High-Street,Mochi Shoes,North Zone,North,Varanasi,Uttar Pradesh,06-04-2024 21:47,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Nice collection of crox ,shoes, slippers,",4,POSITIVE,Product Assortment
CTR,High-Street,Metro Shoes,South Zone,South,Coimbatore,Tamil Nadu,06-04-2024 23:35,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Worst customer service twice. Very rude behavior by the sales person named Abdul basha. He was not willing to show the sandals which we asked for in return showed with high attitude. We mentioned I have sweaty foot show some models no he folded his hands and said I can't show it for you. Even for seeing he didn't allow. Same happened few weeks back asked for leather polish with the same person he denied to show that to my husband. Guys we are in India where u need to sell for all people.  It's like the dude decides who should wear what.. As a family we felt we got humiliated while we walk out of the store. To the owner and the management, pls train your staff and the floor manager on how to behave with customers",1,NEGATIVE,In-Store Experience
BSS,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,07-04-2024 00:14,07-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Location was incorrect and no calls were picked.,1,NEGATIVE,In-Store Experience
PFQ,High-Street,Crocs,East Zone,East,Patna,Bihar,07-04-2024 08:05,07-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Nice,5,POSITIVE,In-Store Experience
CSC,Mall,Metro Shoes,East Zone,East,Kolkata,West Bengal,07-04-2024 11:46,07-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Excellent service.,5,POSITIVE,In-Store Experience
JCM,High-Street,Mochi Shoes,West Zone,West,Jaipur,Rajasthan,07-04-2024 13:47,07-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Great experience with mochi. Loved it with their collection.,5,POSITIVE,Product Assortment
FGM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,07-04-2024 20:40,07-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Worst service ever. Promised to deliver in one day and its been 5days now. Not yet delivered. And in calls not giving proper response. Totally disappointed. And i don’t know what to do with that product. I have to give the gift and i clearly informed them i need on this date.hell service 👎👎👎👎,1,NEGATIVE,In-Store Experience
KNQ,High-Street,Crocs,South Zone,South,Kannur,Kerala,07-04-2024 22:50,07-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Now we can give 5star because now they changed all old staff. Last year very bad
Service from staff side.. 🤝🥂",5,POSITIVE,In-Store Experience
PFQ,High-Street,Crocs,East Zone,East,Patna,Bihar,08-04-2024 03:31,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Both the owner and staff are nice.By mistake I bought USA size 9 instead of UK size 9 and they easily changed it later.,4,POSITIVE,In-Store Experience
NTP,Mall,Metro Shoes,West Zone,West,Nagpur,Maharashtra,08-04-2024 12:21,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Very bad sales person, no training, no manners, very rude ....they just force you to purchase ...if you enter the store and try some shoes they will force you to buy...

All shoe collections are very good, but zero in staff training.",1,NEGATIVE,In-Store Experience
KLU,Mall,Metro Shoes,South Zone,South,Kochi,Kerala,08-04-2024 12:30,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,One of the worst store i met in Ernakulam scammers,1,NEGATIVE,In-Store Experience
BLG,High-Street,Metro Shoes,South Zone,South,Belgaum,Karnataka,08-04-2024 12:35,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Awesome,5,POSITIVE,In-Store Experience
HYD,High-Street,Metro Shoes,South Zone,South,Hyderabad,Telangana,08-04-2024 13:23,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Same old quality not so good my frnd use to buy from there price is high less in quality,2,NEGATIVE,Product Quality
CTQ,High-Street,Crocs,South Zone,South,Coimbatore,Tamil Nadu,08-04-2024 21:54,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Enjoyed,5,POSITIVE,In-Store Experience
LKR,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,08-04-2024 22:34,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Huge variety of lady shoes,5,POSITIVE,Product Assortment
HYD,High-Street,Metro Shoes,South Zone,South,Hyderabad,Telangana,08-04-2024 23:12,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very good showroom watching since my childhood with good quality shoes with affordable prices.,4,POSITIVE,Product Quality
HSQ,High-Street,Crocs,South Zone,South,Secunderabad,Telangana,08-04-2024 23:42,08-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Overall a good shopping experience. The staff were polite and helpful.,5,POSITIVE,In-Store Experience
PSM,Mall,Mochi Shoes,West Zone,West,Mumbai,Maharashtra,09-04-2024 11:12,09-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Poor quality shoes,bought shoes from fresh stock and in one month the shoes tore.
Twice faced the same issue.",1,NEGATIVE,Product Quality
MFS,Mall,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,09-04-2024 14:54,09-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Extermely happy abput the services. Noor Mohammed explained the products very well and suggested appropriate shoes. Overall service was good.
Happy customer..",5,POSITIVE,In-Store Experience
CWT,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,09-04-2024 15:19,09-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Best option and collection for shoes 👟,4,POSITIVE,Product Assortment
PMQ,Mall,Crocs,West Zone,West,Pune,Maharashtra,09-04-2024 17:02,09-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Really a gr8 experience related to service at Croc's Phoenix mall pune, thank u !!!",5,POSITIVE,In-Store Experience
GCM,Mall,Mochi Shoes,East Zone,East,Guwahati,Assam,09-04-2024 19:11,09-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"The manager as well as the staff is so rude. They are just good for nothing. Disgusting Service ever received from any Brand. My sandal got damaged in just 8 months that too I did not wear much, and I asked for replacement but they refused and explained me the cause of damage as ""I kept it more than wearing it which was rediculous""🤣 Rest in peace Mochi🙏",1,NEGATIVE,In-Store Experience
